ngram	id
on comprend	ngid_0
on pout	ngid_1
quoi ah	ngid_2
y a pas mal de	ngid_3
les charges	ngid_4
marche avec	ngid_5
et que	ngid_6
l' impression	ngid_7
n' en	ngid_8
pour la	ngid_9
pour le	ngid_10
besoin de	ngid_11
d' entreprise	ngid_12
pas été	ngid_13
pour l'	ngid_14
que l' on	ngid_15
pas de l'	ngid_16
avait la	ngid_17
à krasucki	ngid_18
ils se sont	ngid_19
& fils	ngid_20
les autres	ngid_21
de partis	ngid_22
personnellement je suis pour	ngid_23
j' ai voté pour eux	ngid_24
fait grève	ngid_25
être que	ngid_26
et puis c' est tout	ngid_27
les immigrés	ngid_28
seulement on	ngid_29
pourquoi on	ngid_30
le parti	ngid_31
fait les	ngid_32
donc là il y a	ngid_33
a quand même des choses	ngid_34
grosse opposition	ngid_35
20 ans	ngid_36
« on	ngid_37
anniversaire de la	ngid_38
que des	ngid_39
la fin de	ngid_40
qu' on est en	ngid_41
des français	ngid_42
après c'	ngid_43
on s' aperçoit que le	ngid_44
ça dépend	ngid_45
un mec qui	ngid_46
ont complètement	ngid_47
l' armée	ngid_48
en faire	ngid_49
il faut les aider	ngid_50
très peur	ngid_51
ai été voter très tard	ngid_52
c' est tout	ngid_53
avec les	ngid_54
ou de	ngid_55
les comptes	ngid_56
vous êtes salarié	ngid_57
mais si	ngid_58
mis tous	ngid_59
partie des	ngid_60
de ça	ngid_61
pas voter	ngid_62
« moi	ngid_63
les deux	ngid_64
ces mecs - là	ngid_65
je ne comprends pas	ngid_66
ai un peu ce sentiment	ngid_67
j' ai voté	ngid_68
la commune	ngid_69
je n' y	ngid_70
mieux que	ngid_71
l' afrique	ngid_72
il paraît que	ngid_73
je ne pensais pas que	ngid_74
à lire	ngid_75
je ne sais	ngid_76
parce qu' on ne	ngid_77
fait des grèves	ngid_78
que des fois	ngid_79
ça ne va plus du	ngid_80
même une	ngid_81
croire qu' il y a	ngid_82
y en a de trop	ngid_83
là - bas	ngid_84
pour ça	ngid_85
il est certain	ngid_86
aux ouvriers	ngid_87
en union soviétique	ngid_88
on est quand même	ngid_89
comme la cgt	ngid_90
je le	ngid_91
je crois qu'	ngid_92
il faut les	ngid_93
sur des	ngid_94
je l'	ngid_95
les ouvriers	ngid_96
je crois que	ngid_97
je ne le	ngid_98
c' est les	ngid_99
« eh bien	ngid_100
je ne l'	ngid_101
front national	ngid_102
j' ai	ngid_103
or nos	ngid_104
c' est qu' il	ngid_105
est certain	ngid_106
alors il	ngid_107
et je ne	ngid_108
la surenchère	ngid_109
je suppose que c' est	ngid_110
c' est un problème	ngid_111
ça devient un problème	ngid_112
maintenant on est	ngid_113
ils mettent	ngid_114
vous me disiez aussi	ngid_115
a un cap de charcuterie	ngid_116
« messieurs	ngid_117
ce qu' ils	ngid_118
du point de vue	ngid_119
je ne dis pas	ngid_120
tout part	ngid_121
et puis c' est	ngid_122
à mon avis	ngid_123
ne sent pas	ngid_124
heures supplémentaires	ngid_125
l' histoire	ngid_126
de france	ngid_127
là il	ngid_128
ça non	ngid_129
pourquoi continuer à	ngid_130
trois cents	ngid_131
pour vous	ngid_132
et puis c' est marre	ngid_133
pas parce qu' on est	ngid_134
parce qu'	ngid_135
peu moins	ngid_136
qu' on en	ngid_137
a trop	ngid_138
un de	ngid_139
vous aviez	ngid_140
où il	ngid_141
est évident	ngid_142
aussi des	ngid_143
il y avait des	ngid_144
qu' il y a eu	ngid_145
quand ils	ngid_146
le cas	ngid_147
oui non	ngid_148
et ça	ngid_149
ah non	ngid_150
ne dis pas qu' ils	ngid_151
sensible à	ngid_152
la tête	ngid_153
de giscard	ngid_154
qu' on les	ngid_155
parce que	ngid_156
j' ai voté giscard	ngid_157
j' étais hésitant	ngid_158
où il y a eu	ngid_159
mais oui	ngid_160
suis un	ngid_161
voté aux	ngid_162
c' est des	ngid_163
on en arrive à	ngid_164
ce qu' il	ngid_165
l' équivalent du	ngid_166
sur le plan économique	ngid_167
chez les	ngid_168
pour nous	ngid_169
laissé la situation se dégrader	ngid_170
je le comprends	ngid_171
dans cette affaire	ngid_172
et d' ailleurs	ngid_173
c' était une	ngid_174
enfin je	ngid_175
quand vous	ngid_176
j' étais	ngid_177
parce que je	ngid_178
dans les caisses	ngid_179
ne peut pas	ngid_180
qu' ils n'	ngid_181
beaucoup d'	ngid_182
beaucoup de	ngid_183
que je connais	ngid_184
l' argent	ngid_185
j' en ai	ngid_186
il vaut	ngid_187
ils vont faire	ngid_188
droit à	ngid_189
même si	ngid_190
aux cours	ngid_191
vous m' avez	ngid_192
ils ne prennent pas	ngid_193
si on	ngid_194
trop cher	ngid_195
si on fait	ngid_196
ne sont pas là pour	ngid_197
13 mois	ngid_198
que ce ne	ngid_199
ne prennent pas leurs responsabilités	ngid_200
qu' on est valable à	ngid_201
qu' on pout	ngid_202
que ce n'	ngid_203
trois mois	ngid_204
être qu'	ngid_205
essayé de trouver	ngid_206
dire « ah	ngid_207
la france	ngid_208
a toujours	ngid_209
pour en	ngid_210
c' est vraiment scandaleux	ngid_211
je n' aime pas	ngid_212
il faut quelqu' un	ngid_213
ne veut pas	ngid_214
dans une	ngid_215
qui avaient	ngid_216
faut les	ngid_217
tout le monde	ngid_218
des prêts	ngid_219
entre les deux	ngid_220
y a une	ngid_221
voté pour lui	ngid_222
le reconnaitre	ngid_223
on a les mêmes idées	ngid_224
ils le	ngid_225
on le sait	ngid_226
français propriétaires	ngid_227
président de la république a	ngid_228
une autre	ngid_229
pas eu une	ngid_230
côté de	ngid_231
parce que là aussi	ngid_232
sont numéro un	ngid_233
du moment que	ngid_234
des immigrés	ngid_235
commencer à	ngid_236
ce genre	ngid_237
qu' une	ngid_238
en faire repartir	ngid_239
ses heures	ngid_240
11 novembre	ngid_241
ça peut paraître contradictoire	ngid_242
un artisan	ngid_243
ça ne vaut plus	ngid_244
je ne dis pas que	ngid_245
de penser	ngid_246
je l' ai	ngid_247
je ne dis pas qu'	ngid_248
moi je n' ai	ngid_249
il aurait	ngid_250
a trouvé une	ngid_251
et puis il faut	ngid_252
d' hébergement	ngid_253
on n' est	ngid_254
qu' on est là	ngid_255
qui aurait	ngid_256
la peine	ngid_257
la démocratie	ngid_258
est - à - dire	ngid_259
mais il y en a	ngid_260
je ne comprends pas bien	ngid_261
il y a une chose	ngid_262
n' est pas un homme	ngid_263
pour moi la	ngid_264
que le mec	ngid_265
on prend	ngid_266
l' angleterre	ngid_267
on voit tous ces mouvements	ngid_268
voulu que	ngid_269
se rappelle	ngid_270
le changement	ngid_271
doit être	ngid_272
de la ville	ngid_273
ils ne veulent pas	ngid_274
au pouvoir	ngid_275
un programme	ngid_276
que la situation	ngid_277
si vous	ngid_278
a -	ngid_279
et une	ngid_280
c' était un	ngid_281
est vraiment	ngid_282
pas parce qu'	ngid_283
que les	ngid_284
qu' on ait	ngid_285
ce sont	ngid_286
deux ténors	ngid_287
que c' est 100	ngid_288
pour une	ngid_289
je travaille dans le bâtiment	ngid_290
ont quand même	ngid_291
un truc	ngid_292
qui étaient	ngid_293
c' est parce qu' on	ngid_294
je ne m' en occupais	ngid_295
va être	ngid_296
chez nous	ngid_297
de problèmes	ngid_298
comme l'	ngid_299
comme la	ngid_300
ça change	ngid_301
ai pas	ngid_302
ça va	ngid_303
il y en a	ngid_304
et tout	ngid_305
est peut - être	ngid_306
pas grand - chose	ngid_307
les salaires qu' ils ont	ngid_308
pas tellement	ngid_309
le plan	ngid_310
un autre	ngid_311
augmenter les	ngid_312
pas trop	ngid_313
les mecs	ngid_314
grand -	ngid_315
ça commence	ngid_316
jusqu' à	ngid_317
où il y a	ngid_318
au moins	ngid_319
entre la	ngid_320
il était dans le gouvernement	ngid_321
qu' avec	ngid_322
va s'	ngid_323
ils sont arrivés	ngid_324
vers la	ngid_325
au bout de	ngid_326
soit ils	ngid_327
s' appelle	ngid_328
ça nous	ngid_329
il y a des gens	ngid_330
les crédits	ngid_331
que maintenant	ngid_332
tenté de	ngid_333
puisque c' est	ngid_334
cette époque - là	ngid_335
qu' ils n' ont pas	ngid_336
de quelle	ngid_337
14 %	ngid_338
mais les	ngid_339
comme les	ngid_340
n' y a pas eu	ngid_341
tous ceux qui	ngid_342
un peu de	ngid_343
a jamais	ngid_344
et on	ngid_345
au contraire	ngid_346
quand même	ngid_347
est - ce que vous	ngid_348
dire ça	ngid_349
ne va pas	ngid_350
et puis qu' on	ngid_351
pas une	ngid_352
des intérêts	ngid_353
je n' aimais pas giscard	ngid_354
il n' a pas d'	ngid_355
est valable à 100 %	ngid_356
y a	ngid_357
ça y est	ngid_358
ils avaient	ngid_359
a rien	ngid_360
ces imbéciles	ngid_361
mais il faut	ngid_362
le faire	ngid_363
elle a un cap de	ngid_364
je le pense	ngid_365
eh bien	ngid_366
la preuve	ngid_367
que j' ai	ngid_368
tout le	ngid_369
certaines choses	ngid_370
« un	ngid_371
très grave	ngid_372
chez eux	ngid_373
sont des	ngid_374
ça n' a pas	ngid_375
me fait	ngid_376
un gars	ngid_377
ne veulent	ngid_378
que malgré tout	ngid_379
vous me disiez que	ngid_380
d' année	ngid_381
est dans une	ngid_382
que ça	ngid_383
la guerre	ngid_384
c' est ce	ngid_385
autres mesures	ngid_386
ils n' ont pas compris	ngid_387
savigny - sur - orge	ngid_388
faut quelqu' un	ngid_389
je ne suis pas du	ngid_390
des choses	ngid_391
on n' ira	ngid_392
avoir une bonne	ngid_393
on s' est	ngid_394
dans ces	ngid_395
on a fait	ngid_396
n' est pas parce qu'	ngid_397
de l' entreprise	ngid_398
à lui tout seul	ngid_399
a laissé	ngid_400
en arrière	ngid_401
on a eu	ngid_402
